Date,Price,Open,High,Low,Vol.,Change %
"Mar 17, 2021",58913.5,"56,892.90","58,933.20","54,253.20",118.26K,3.56%
"Mar 16, 2021",56889.7,"55,619.50","56,889.70","53,342.60",128.51K,1.97%
"Mar 15, 2021",55791.3,"59,117.40","60,565.90","55,088.80",117.71K,-5.62%
"Mar 14, 2021",59113.7,"61,192.70","61,673.70","59,113.70",80.29K,-3.40%
"Mar 13, 2021",61195.3,"57,267.40","61,795.80","56,118.80",134.64K,6.86%
"Mar 12, 2021",57265.1,"57,806.20","58,052.30","55,134.50",116.96K,-0.92%
"Mar 11, 2021",57799.5,"55,851.20","58,135.00","54,351.80",129.63K,3.49%
"Mar 10, 2021",55851.9,"54,882.70","57,328.70","53,073.60",140.96K,1.77%
"Mar 09, 2021",54879,"52,352.40","54,880.60","51,941.30",114.06K,4.91%
"Mar 08, 2021",52311,"50,988.90","52,384.90","49,338.10",68.14K,2.61%
"Mar 07, 2021",50982.3,"48,899.00","51,434.10","48,890.60",82.91K,4.35%
"Mar 06, 2021",48855.6,"48,798.70","49,191.80","47,132.80",66.66K,0.13%
"Mar 05, 2021",48792.5,"48,363.60","49,429.40","46,370.10",113.64K,0.75%
"Mar 04, 2021",48428,"50,388.00","51,757.70","47,521.80",9.56K,-3.90%
"Mar 03, 2021",50395.1,"48,422.20","52,567.90","48,159.20",44.93K,4.07%
"Mar 02, 2021",48424.2,"49,595.60","50,191.90","47,100.60",102.10K,-2.36%
"Mar 01, 2021",49595.5,"45,160.50","49,774.00","45,008.80",137.52K,9.81%
"Feb 28, 2021",45164,"46,136.00","46,582.00","43,100.60",135.08K,-2.11%
"Feb 27, 2021",46136.7,"46,333.10","48,335.10","45,059.40",98.75K,-0.45%
"Feb 26, 2021",46345.6,"46,928.50","48,413.90","44,248.20",189.41K,-1.24%
"Feb 25, 2021",46928.5,"49,695.90","52,013.80","46,773.70",83.22K,-5.57%
"Feb 24, 2021",49697.5,"48,911.10","51,311.80","47,031.70",153.75K,1.61%
"Feb 23, 2021",48911.2,"54,114.10","54,115.00","45,093.80",315.07K,-9.61%
"Feb 22, 2021",54111.8,"57,437.60","57,480.80","48,353.80",244.95K,-5.78%
"Feb 21, 2021",57433.8,"55,907.60","58,335.10","55,502.70",87.26K,2.70%
"Feb 20, 2021",55923.7,"55,922.00","57,523.80","54,124.10",127.85K,0.03%
"Feb 19, 2021",55906.6,"51,590.10","56,238.50","50,816.80",139.43K,8.38%
"Feb 18, 2021",51582.2,"52,094.50","52,524.00","50,941.60",94.35K,-0.95%
"Feb 17, 2021",52079.2,"49,161.30","52,577.70","49,018.10",140.03K,5.92%
"Feb 16, 2021",49169.7,"47,934.20","50,515.80","47,044.40",141.37K,2.57%
"Feb 15, 2021",47936.3,"48,611.10","48,936.50","45,786.10",123.18K,-1.45%
"Feb 14, 2021",48643.4,"47,172.10","49,695.10","47,051.90",106.50K,3.13%
"Feb 13, 2021",47168.7,"47,373.10","48,097.30","46,270.50",89.42K,-0.43%
"Feb 12, 2021",47371.7,"47,995.00","48,927.40","46,218.60",133.73K,-1.29%
"Feb 11, 2021",47990.7,"44,834.80","48,622.10","44,041.10",145.77K,7.04%
"Feb 10, 2021",44836,"46,507.80","47,295.30","43,800.50",151.83K,-3.60%
"Feb 09, 2021",46508.6,"46,396.40","48,143.50","45,104.70",193.87K,0.24%
"Feb 08, 2021",46395.7,"38,853.60","46,596.40","38,057.00",248.47K,19.41%
"Feb 07, 2021",38852.9,"39,228.90","39,691.70","37,381.60",125.37K,-1.03%
"Feb 06, 2021",39256.6,"38,300.60","40,939.70","38,275.30",156.02K,2.50%
"Feb 05, 2021",38297.6,"36,976.40","38,303.60","36,640.00",100.60K,3.56%
"Feb 04, 2021",36982.1,"37,648.90","38,707.90","36,380.80",151.44K,-1.77%
"Feb 03, 2021",37646.8,"35,486.90","37,646.80","35,401.50",131.03K,6.09%
"Feb 02, 2021",35485.2,"33,514.00","35,976.10","33,462.40",120.85K,5.88%
"Feb 01, 2021",33515.7,"33,106.80","34,685.60","32,324.90",126.32K,1.23%
"Jan 31, 2021",33108.1,"34,281.60","34,348.30","32,189.90",101.92K,-3.43%
"Jan 30, 2021",34283.1,"34,300.00","34,920.90","32,908.50",128.57K,-0.05%
"Jan 29, 2021",34301.8,"33,381.70","38,546.00","31,953.30",297.73K,2.78%
"Jan 28, 2021",33374.8,"30,408.90","33,790.80","29,911.90",167.39K,9.77%
"Jan 27, 2021",30404,"32,499.60","32,545.40","29,290.40",194.35K,-6.46%
"Jan 26, 2021",32502.1,"32,244.10","32,917.70","30,850.00",139.84K,0.77%
"Jan 25, 2021",32252.3,"32,244.30","34,854.30","31,967.40",142.43K,0.03%
"Jan 24, 2021",32241.3,"32,088.50","33,034.80","30,982.90",88.21K,0.47%
"Jan 23, 2021",32088.9,"32,994.10","33,441.40","31,418.20",100.70K,-2.76%
"Jan 22, 2021",33000.5,"30,838.70","33,821.20","28,871.20",243.09K,7.00%
"Jan 21, 2021",30842.1,"35,472.30","35,591.10","30,101.80",253.27K,-13.06%
"Jan 20, 2021",35476.3,"35,862.10","36,384.40","33,444.50",153.61K,-1.46%
"Jan 19, 2021",36002.9,"36,630.60","37,821.00","36,001.40",79.11K,-1.67%
"Jan 18, 2021",36613.2,"35,838.20","37,436.80","34,801.00",111.52K,2.16%
"Jan 17, 2021",35839.6,"36,020.10","36,801.30","33,883.50",126.82K,-0.50%
"Jan 16, 2021",36019.5,"36,751.80","37,931.70","35,408.40",137.02K,-2.24%
